id,Nome,Intervistato,Data_intervista,Link_Youtube,Link_embed,Latitude,Longitude,Video_originale,Video_player,Intervistato_icon,Link_zenodo,Video_player_2
040v,Teatro Gerolamo,Giacomo Manzoni,03-03-2022,https://www.youtube.com/watch?v=wkHU9Vqdh0I,https://www.youtube.com/embed/wkHU9Vqdh0I,45.46414335,9.194648221,"<a href=""https://www.youtube.com/watch?v=wkHU9Vqdh0I"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/wkHU9Vqdh0I"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Giacomo_Manzoni,https://zenodo.org/record/7990185/files/Gerolamo_Manzoni.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Gerolamo_Manzoni.mp4"" width=""300px"" height=""220px"" ></video>"
054v,Teatro Gerolamo,Lino Patruno,22-04-2022,https://www.youtube.com/watch?v=p0P8UikX5XU,https://www.youtube.com/embed/p0P8UikX5XU,45.4641965,9.194737709,"<a href=""https://www.youtube.com/watch?v=p0P8UikX5XU"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/p0P8UikX5XU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Lino_Patruno,https://zenodo.org/record/7990185/files/Teatro%20Gerolamo_Patruno.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Teatro%20Gerolamo_Patruno.mp4"" width=""300px"" height=""220px"" ></video>"
024v,Teatro Lirico,Gaetano Liguori,17-3-2022,https://www.youtube.com/watch?v=uzUZqb1XzNw,https://www.youtube.com/embed/uzUZqb1XzNw,45.46142455,9.191985168,"<a href=""https://www.youtube.com/watch?v=uzUZqb1XzNw"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/uzUZqb1XzNw"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Gaetano_Liguori,https://zenodo.org/record/7990185/files/Lirico_Liguori.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Lirico_Liguori.mp4"" width=""300px"" height=""220px"" ></video>"
015v,Teatro Manzoni,Paolo Tomelleri,23-02-2022,,,45.47149533,9.194230931,"<a href=""https://www.youtube.com/watch?v=xh68T0Ykp6I"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/xh68T0Ykp6I"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Paolo_Tomelleri,https://zenodo.org/record/7990185/files/Manzoni_Tomelleri.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Manzoni_Tomelleri.mp4"" width=""300px"" height=""220px"" ></video>"
042v,Teatro Nuovo,Giacomo Manzoni,03-03-2022,https://www.youtube.com/watch?v=qJAoBomfVR0,https://www.youtube.com/embed/qJAoBomfVR0,45.46658363,9.19730059,"<a href=""https://www.youtube.com/watch?v=qJAoBomfVR0"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/qJAoBomfVR0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Giacomo_Manzoni,https://zenodo.org/record/7990185/files/Teatro%20Nuovo_Manzoni.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Teatro%20Nuovo_Manzoni.mp4"" width=""300px"" height=""220px"" ></video>"
035v,Teatro Odeon,Bruno Canino,03-03-2022,https://www.youtube.com/watch?v=jVA9PhBn8Zk,https://www.youtube.com/embed/jVA9PhBn8Zk,45.46492766,9.1926577,"<a href=""https://www.youtube.com/watch?v=jVA9PhBn8Zk"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/jVA9PhBn8Zk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Bruno_Canino,https://zenodo.org/record/7990185/files/Teatro%20Odeon_Canino.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Teatro%20Odeon_Canino.mp4"" width=""300px"" height=""220px"" ></video>"
003v,Teatro Olimpia,Natale Massara,15-03-2022,,,45.46858448,9.182344979,"<a href=""https://www.youtube.com/watch?v=w2EVx_ALDeU"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/w2EVx_ALDeU?rel=0"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Natale_Massara,https://zenodo.org/record/7990185/files/Olimpia_Massara.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Olimpia_Massara.mp4"" width=""300px"" height=""220px"" ></video>"
056v,Teatro San Marco,Lino Patruno,22-04-2022,https://www.youtube.com/watch?v=7-8YH7d5_9c,https://www.youtube.com/embed/7-8YH7d5_9c,45.47346118,9.18784055,"<a href=""https://www.youtube.com/watch?v=7-8YH7d5_9c"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/7-8YH7d5_9c"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Lino_Patruno,https://zenodo.org/record/7990185/files/Teatro%20San%20Marco_Patruno.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Teatro%20San%20Marco_Patruno.mp4"" width=""300px"" height=""220px"" ></video>"
011v,Triennale,Enrico Intra,11-02-2022,,,45.47210637,9.173398544,"<a href=""https://www.youtube.com/watch?v=US36q016tPg"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/US36q016tPg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Enrico_Intra,https://zenodo.org/record/7990185/files/Triennale_Intra.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Triennale_Intra.mp4"" width=""300px"" height=""220px"" ></video>"
057v,U.S.I.S.,Lino Patruno,22-04-2022,https://www.youtube.com/watch?v=QSnTdPYFWbo,https://www.youtube.com/embed/QSnTdPYFWbo,45.46840098,9.193883197,"<a href=""https://www.youtube.com/watch?v=QSnTdPYFWbo"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/QSnTdPYFWbo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Lino_Patruno,https://zenodo.org/record/7990185/files/Usis_Patruno.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Usis_Patruno.mp4"" width=""300px"" height=""220px"" ></video>"
043v,Umanitaria,Giacomo Manzoni,03-03-2022,https://www.youtube.com/watch?v=VVTEkLLGGJo,https://www.youtube.com/embed/VVTEkLLGGJo,45.45911946,9.201463551,"<a href=""https://www.youtube.com/watch?v=VVTEkLLGGJo"" target=""_blank"" rel=""noopener"">Video originale</a>","<iframe width=""280"" height=""200"" src=""https://www.youtube.com/embed/VVTEkLLGGJo"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen=""""></iframe>",Giacomo_Manzoni,https://zenodo.org/record/7990185/files/Umanitaria_Manzoni.mp4,"<video controls preload=""metadata"" src=""https://zenodo.org/record/7990185/files/Umanitaria_Manzoni.mp4"" width=""300px"" height=""220px"" ></video>"
