id,Nome,Organizzatore,Eventi,Anno,Capienza,Costo medio,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
003s,Al pozzo club,,0,,,,Whisky a go-go,"Viale Piave, 40, Milano, Italia",45.47326446,9.206779,,,,,s003,17/02/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s003.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s003.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s003.jpg
046s,Hi-Fi Club,,0,,,,Whisky a go-go,"Piazza Duomo, 4, Milano, Italia",45.46357334,9.18915153,,,,,s046,09/04/59,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s046.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s046.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s046.jpg
058s,La Tarantola,,0,,,,Whisky a go-go,"Via Principe Eugenio, 14, Milano, Italia",45.4891098,9.1637518,,,,,s058,24/04/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s058.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s058.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s058.jpg
077s,Pick-up Club,,0,,,,Whisky a go-go,"Piazza Piola, Milano, Italia",45.48077242,9.22437429,,,,,s077,22/01/1959,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s077.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s077.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s077.jpg
122s,Whisky notte a gogo,,0,,,,Whisky a go-go,"Piazza Carlo Erba, Milano, Italia",45.47535219,9.22113419,,,,,s122,4/2/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s122.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s122.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s122.jpg
